Customer_ID,Current_Net_Worth,Savings_Rate(%),Goal_Amount(₹),Primary_Financial_Goal,cluster,cluster_label
CUST200000,949585.0,22.13,5497227.0,Retirement,3,Mid NW • Retirement
CUST200001,9004814.0,41.86,17765667.0,Retirement,1,High NW • Wealth (large goals)
CUST200002,-165545.0,2.95,388154.0,Emergency_Fund,2,Low NW • Education
CUST200003,147411.0,2.65,434977.0,Emergency_Fund,2,Low NW • Education
CUST200004,2805939.0,11.87,1978416.0,Retirement,3,Mid NW • Retirement
CUST200005,6211650.0,13.1,527259.0,House,0,Mid NW • House
CUST200006,3629224.0,13.21,2671057.0,House,0,Mid NW • House
CUST200007,28532018.0,47.82,11619274.0,Wealth,4,High NW • Wealth (modest goals)
CUST200008,26237564.0,44.56,2420615.0,Wealth,4,High NW • Wealth (modest goals)
CUST200009,-186495.0,2.91,472219.0,Education,2,Low NW • Education
CUST200010,1747642.0,10.88,1497932.0,Retirement,3,Mid NW • Retirement
CUST200011,2158876.0,10.06,3382236.0,House,0,Mid NW • House
CUST200012,2423014.0,22.72,4092947.0,Retirement,3,Mid NW • Retirement
CUST200013,3100683.0,19.43,4249839.0,House,0,Mid NW • House
CUST200014,3831186.0,22.37,1289089.0,House,0,Mid NW • House
CUST200015,47810.0,28.47,4726504.0,Retirement,3,Mid NW • Retirement
CUST200016,-236716.0,23.38,3533809.0,House,0,Mid NW • House
CUST200017,25768742.0,49.17,19365696.0,Wealth,1,High NW • Wealth (large goals)
CUST200018,-40815.0,7.5,531400.0,Emergency_Fund,2,Low NW • Education
CUST200019,45135837.0,57.14,24278427.0,Wealth,4,High NW • Wealth (modest goals)
CUST200020,11680781.0,23.39,3185392.0,Retirement,3,Mid NW • Retirement
CUST200021,5145984.0,15.22,4499901.0,House,0,Mid NW • House
CUST200022,4109230.0,19.76,4433547.0,House,0,Mid NW • House
CUST200023,7840236.0,21.88,4395264.0,House,0,Mid NW • House
CUST200024,24480195.0,48.78,22941413.0,Wealth,1,High NW • Wealth (large goals)
CUST200025,3580338.0,21.17,5082815.0,Education,2,Low NW • Education
CUST200026,1625537.0,29.44,3819084.0,House,0,Mid NW • House
CUST200027,2846907.0,25.6,1407447.0,Retirement,3,Mid NW • Retirement
CUST200028,24412361.0,41.24,3271629.0,Wealth,4,High NW • Wealth (modest goals)
CUST200029,5155427.0,11.94,868564.0,Education,2,Low NW • Education
CUST200030,3201846.0,27.27,1710571.0,Retirement,3,Mid NW • Retirement
CUST200031,470292.0,19.4,1574928.0,Education,2,Low NW • Education
CUST200032,4213770.0,15.08,4967707.0,Retirement,3,Mid NW • Retirement
CUST200033,5627594.0,21.88,2726222.0,Education,2,Low NW • Education
CUST200034,11592185.0,23.49,1036840.0,Retirement,3,Mid NW • Retirement
CUST200035,5029648.0,28.67,2660218.0,House,0,Mid NW • House
CUST200036,3121108.0,15.69,5750022.0,House,0,Mid NW • House
CUST200037,2630081.0,17.78,3864062.0,House,0,Mid NW • House
CUST200038,-85307.0,3.08,368331.0,Emergency_Fund,2,Low NW • Education
CUST200039,6827062.0,21.4,2635224.0,House,0,Mid NW • House
CUST200040,1633113.0,14.32,1902356.0,House,0,Mid NW • House
CUST200041,32814029.0,49.67,8486502.0,House,4,High NW • Wealth (modest goals)
CUST200042,2361296.0,25.11,2486914.0,Retirement,3,Mid NW • Retirement
CUST200043,573503.0,28.72,1296529.0,Education,2,Low NW • Education
CUST200044,60382901.0,39.17,9463892.0,Retirement,4,High NW • Wealth (modest goals)
CUST200045,2888277.0,14.02,2072153.0,Retirement,3,Mid NW • Retirement
CUST200046,1495927.0,19.78,1680845.0,Retirement,3,Mid NW • Retirement
CUST200047,2019705.0,14.02,2864606.0,House,0,Mid NW • House
CUST200048,768819.0,14.2,5224389.0,Retirement,3,Mid NW • Retirement
CUST200049,3109600.0,15.53,1765745.0,House,0,Mid NW • House
CUST200050,20863567.0,51.02,14705271.0,Wealth,1,High NW • Wealth (large goals)
CUST200051,1448154.0,19.09,3595711.0,Education,2,Low NW • Education
CUST200052,1912214.0,18.06,1311821.0,Retirement,3,Mid NW • Retirement
CUST200053,45906961.0,57.8,19966219.0,Retirement,4,High NW • Wealth (modest goals)
CUST200054,8858548.0,41.12,29606855.0,Wealth,1,High NW • Wealth (large goals)
CUST200055,1373347.0,10.2,1833258.0,Retirement,3,Mid NW • Retirement
CUST200056,1473313.0,14.79,3501566.0,House,0,Mid NW • House
CUST200057,1187289.0,15.48,5704827.0,House,0,Mid NW • House
CUST200058,4782735.0,11.66,669848.0,Retirement,3,Mid NW • Retirement
CUST200059,13322256.0,30.0,5782526.0,House,0,Mid NW • House
CUST200060,6734294.0,15.61,5318309.0,Retirement,3,Mid NW • Retirement
CUST200061,78675.0,20.57,3302640.0,Retirement,3,Mid NW • Retirement
CUST200062,1413772.0,25.6,1991927.0,Retirement,3,Mid NW • Retirement
CUST200063,4689625.0,17.9,2830801.0,Retirement,3,Mid NW • Retirement
CUST200064,-534396.0,29.39,1501212.0,House,0,Mid NW • House
CUST200065,2084046.0,16.13,5300630.0,Education,2,Low NW • Education
CUST200066,4888801.0,22.76,3109920.0,Retirement,3,Mid NW • Retirement
CUST200067,3469402.0,23.8,4929714.0,Retirement,3,Mid NW • Retirement
CUST200068,7664878.0,23.65,1631164.0,House,0,Mid NW • House
CUST200069,1614903.0,26.17,2601124.0,Retirement,3,Mid NW • Retirement
CUST200070,11185667.0,20.09,5786485.0,Retirement,3,Mid NW • Retirement
CUST200071,17386817.0,35.54,13620854.0,Wealth,1,High NW • Wealth (large goals)
CUST200072,3800652.0,20.29,2970642.0,House,0,Mid NW • House
CUST200073,3297683.0,19.21,1865686.0,Retirement,3,Mid NW • Retirement
CUST200074,15618860.0,25.28,5244814.0,Retirement,3,Mid NW • Retirement
CUST200075,45268404.0,40.34,21923189.0,Retirement,4,High NW • Wealth (modest goals)
CUST200076,2156476.0,40.84,7459830.0,House,0,Mid NW • House
CUST200077,625922.0,21.64,5791468.0,House,0,Mid NW • House
CUST200078,680125.0,17.36,5642373.0,Retirement,3,Mid NW • Retirement
CUST200079,1016185.0,14.53,791725.0,House,0,Mid NW • House
CUST200080,2129804.0,29.59,575061.0,Education,2,Low NW • Education
CUST200081,3758294.0,19.77,4641406.0,House,0,Mid NW • House
CUST200082,49128835.0,48.88,13699866.0,Retirement,4,High NW • Wealth (modest goals)
CUST200083,1436936.0,16.21,3301817.0,House,0,Mid NW • House
CUST200084,-91164.0,22.16,3701543.0,House,0,Mid NW • House
CUST200085,3165157.0,29.5,5586492.0,House,0,Mid NW • House
CUST200086,46531.0,15.01,5782718.0,Education,2,Low NW • Education
CUST200087,1170328.0,25.84,4211010.0,House,0,Mid NW • House
CUST200088,2800801.0,18.02,5325296.0,House,0,Mid NW • House
CUST200089,22553603.0,30.54,7625765.0,Retirement,3,Mid NW • Retirement
CUST200090,3682594.0,20.09,4043282.0,Education,2,Low NW • Education
CUST200091,-446003.0,21.68,4796537.0,Retirement,3,Mid NW • Retirement
CUST200092,1213306.0,10.28,724432.0,Retirement,3,Mid NW • Retirement
CUST200093,8612812.0,20.25,5265876.0,Retirement,3,Mid NW • Retirement
CUST200094,4048820.0,27.86,5804815.0,Retirement,3,Mid NW • Retirement
CUST200095,78421.0,16.3,906398.0,Retirement,3,Mid NW • Retirement
CUST200096,2349732.0,15.12,3158207.0,Retirement,3,Mid NW • Retirement
CUST200097,34433363.0,40.55,12585036.0,House,4,High NW • Wealth (modest goals)
CUST200098,153778.0,14.32,1235045.0,House,0,Mid NW • House
CUST200099,15483523.0,40.28,2553355.0,House,0,Mid NW • House
CUST200100,970030.0,10.5,1226157.0,Retirement,3,Mid NW • Retirement
CUST200101,275032.0,7.34,490247.0,Emergency_Fund,2,Low NW • Education
CUST200102,27064963.0,40.45,4334294.0,Retirement,4,High NW • Wealth (modest goals)
CUST200103,4269964.0,28.33,882786.0,House,0,Mid NW • House
CUST200104,5982330.0,11.05,5302274.0,Retirement,3,Mid NW • Retirement
CUST200105,9529562.0,49.17,29301037.0,Wealth,1,High NW • Wealth (large goals)
CUST200106,391060.0,10.85,4479416.0,House,0,Mid NW • House
CUST200107,3144662.0,20.71,2076783.0,Retirement,3,Mid NW • Retirement
CUST200108,10449924.0,29.05,3177655.0,Retirement,3,Mid NW • Retirement
CUST200109,9258363.0,29.0,895393.0,Retirement,3,Mid NW • Retirement
CUST200110,6049633.0,25.51,1022796.0,Education,2,Low NW • Education
CUST200111,7510132.0,22.24,757454.0,Retirement,3,Mid NW • Retirement
CUST200112,13586814.0,34.46,28042332.0,Retirement,1,High NW • Wealth (large goals)
CUST200113,64802.0,28.86,542560.0,Education,2,Low NW • Education
CUST200114,4265243.0,28.75,4207284.0,House,0,Mid NW • House
CUST200115,1924098.0,28.08,5912983.0,Education,2,Low NW • Education
CUST200116,15954164.0,27.89,1505098.0,House,0,Mid NW • House
CUST200117,84301.0,19.58,5220139.0,Retirement,3,Mid NW • Retirement
CUST200118,8011170.0,25.3,5156642.0,House,0,Mid NW • House
CUST200119,3424417.0,25.41,5095331.0,House,0,Mid NW • House
CUST200120,10796552.0,27.55,5534018.0,House,0,Mid NW • House
CUST200121,9627302.0,20.81,4118277.0,Education,2,Low NW • Education
CUST200122,587009.0,14.39,4791397.0,House,0,Mid NW • House
CUST200123,519258.0,10.77,737055.0,Education,2,Low NW • Education
CUST200124,-205407.0,17.38,2149821.0,House,0,Mid NW • House
CUST200125,5748443.0,26.19,3243688.0,Retirement,3,Mid NW • Retirement
CUST200126,6936281.0,14.76,5502410.0,House,0,Mid NW • House
CUST200127,335064.0,7.66,347487.0,Emergency_Fund,2,Low NW • Education
CUST200128,4498760.0,24.79,2048453.0,Retirement,3,Mid NW • Retirement
CUST200129,915246.0,11.55,3786720.0,Retirement,3,Mid NW • Retirement
CUST200130,147776.0,6.15,582458.0,Emergency_Fund,2,Low NW • Education
CUST200131,1766280.0,24.33,5701658.0,House,0,Mid NW • House
CUST200132,131261.0,22.32,4168444.0,Retirement,3,Mid NW • Retirement
